"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2017-Q2","T2-2017",267.738,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2017-Q4","T4-2017",273.808,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2017-Q3","T3-2017",266.969,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2018","2018",277.452,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2018-Q2","T2-2018",274.996,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2018-Q1","T1-2018",267.659,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2018-Q4","T4-2018",290.92,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2018-Q3","T3-2018",276.234,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2013","2013",25.058,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2013-Q1","T1-2013",25.071,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2013-Q2","T2-2013",24.587,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2013-Q4","T4-2013",25.45,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2013-Q3","T3-2013",25.125,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2014","2014",25.162,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2014-Q2","T2-2014",25.113,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2014-Q1","T1-2014",25.342,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2014-Q4","T4-2014",25.214,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2014-Q3","T3-2014",24.98,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2015","2015",25.281,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2015-Q1","T1-2015",26.241,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2015-Q2","T2-2015",24.816,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2015-Q4","T4-2015",24.906,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2015-Q3","T3-2015",25.162,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2016","2016",25.214,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2016-Q2","T2-2016",24.706,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2016-Q1","T1-2016",25.696,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2016-Q4","T4-2016",25.39,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2016-Q3","T3-2016",25.063,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2017","2017",25.467,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2017-Q1","T1-2017",25.705,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2017-Q2","T2-2017",24.862,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2017-Q4","T4-2017",26.144,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2017-Q3","T3-2017",25.156,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2018","2018",25.797,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2018-Q2","T2-2018",25.012,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2018-Q1","T1-2018",26.35,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2018-Q4","T4-2018",25.914,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","2","femmine","Y_GE15","15 anni e più","2018-Q3","T3-2018",25.915,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2013","2013",603.113,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2013-Q1","T1-2013",609.861,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2013-Q2","T2-2013",604.39,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2013-Q4","T4-2013",590.38,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2013-Q3","T3-2013",607.822,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2014","2014",599.147,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2014-Q2","T2-2014",596.927,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2014-Q1","T1-2014",587.912,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2014-Q4","T4-2014",598.214,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2014-Q3","T3-2014",613.533,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2015","2015",611.721,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2015-Q1","T1-2015",607.011,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2015-Q2","T2-2015",610.678,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2015-Q4","T4-2015",613.387,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2015-Q3","T3-2015",615.81,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2016","2016",609.55,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2016-Q2","T2-2016",606.803,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2016-Q1","T1-2016",613.41,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2016-Q4","T4-2016",609.005,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2016-Q3","T3-2016",608.982,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2017","2017",603.081,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2017-Q1","T1-2017",593.295,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2017-Q2","T2-2017",605.307,,
